satisfaction_level,last_evaluation,project_count,average_monthly_hours,time_in_company,work_accident,emp_left,promotion_last_5years,sales,salary
0.89,1,5,224,5,0,1,0,sales,low
0.45,0.47,2,160,3,0,1,0,sales,low
0.78,0.99,4,255,6,0,1,0,sales,low
0.4,0.51,2,145,3,0,1,0,hr,low
0.84,0.87,4,246,6,0,1,0,hr,low
0.45,0.5,2,126,3,0,1,0,technical,low
0.4,0.54,2,148,3,0,1,0,support,low
0.44,0.55,2,135,3,0,1,0,support,low
0.38,0.54,2,128,3,0,1,0,technical,low
0.43,0.54,2,153,3,0,1,0,product_mng,medium
0.9,0.98,4,264,6,0,1,0,product_mng,medium
0.09,0.87,7,295,4,0,1,0,product_mng,low
0.43,0.56,2,157,3,0,1,0,sales,low
0.11,0.77,6,291,4,0,1,0,marketing,low
0.37,0.57,2,130,3,0,1,0,sales,low
0.09,0.83,6,255,4,0,1,0,sales,low
0.11,0.97,6,284,4,0,1,0,sales,low
0.9,1,5,221,6,0,1,0,sales,medium
0.43,0.52,2,158,3,0,1,0,sales,medium
0.11,0.92,6,260,4,0,1,0,support,low
0.42,0.48,2,129,3,0,1,0,management,low
0.09,0.96,6,245,4,0,1,0,IT,low
0.11,0.8,6,256,4,0,1,0,IT,low
0.37,0.52,2,143,3,0,1,0,marketing,low
0.39,0.48,2,160,3,0,1,0,sales,low
0.39,0.5,2,136,3,0,1,0,management,low
0.11,0.84,7,296,4,0,1,0,sales,low
0.11,0.78,7,278,4,0,1,0,sales,low
0.11,0.85,6,308,5,0,1,0,sales,medium
0.1,0.84,6,261,4,0,1,0,accounting,medium
0.09,0.85,6,297,4,0,1,0,hr,medium
0.74,0.91,4,232,5,0,1,0,technical,medium
0.1,0.89,7,285,4,0,1,0,technical,low
0.9,0.82,5,259,5,0,1,0,support,low
0.44,0.5,2,128,3,0,1,0,support,low
0.39,0.5,4,294,3,0,1,0,technical,low
0.4,0.53,2,151,3,0,1,0,IT,low
0.36,0.51,2,155,3,0,1,0,IT,low
0.1,0.84,6,286,4,0,1,0,product_mng,low
0.37,0.46,2,158,3,0,1,0,hr,low
0.42,0.47,2,159,3,0,1,0,marketing,low
0.92,0.99,5,255,6,0,1,0,sales,low
0.37,0.48,2,159,3,0,1,0,sales,low
0.79,0.87,5,261,5,0,1,0,sales,low
0.11,0.84,6,251,4,0,1,0,technical,medium
0.1,0.97,6,267,4,1,1,0,support,low
0.82,0.81,4,233,4,1,1,0,support,low
0.38,0.47,2,144,3,0,1,0,support,low
0.4,0.56,2,148,3,0,1,0,support,low
0.11,0.83,6,306,4,0,1,0,support,low
0.45,0.55,2,151,3,0,1,0,IT,medium
0.89,0.87,5,255,5,0,1,0,RandD,medium
0.11,0.95,7,300,4,0,1,0,management,medium
0.4,0.54,2,139,3,0,1,0,marketing,low
0.73,0.86,4,245,6,0,1,0,sales,low
0.37,0.46,2,153,3,0,1,0,sales,low
0.41,0.54,2,153,3,1,1,0,sales,low
0.61,0.47,2,253,3,0,1,0,sales,low
0.37,0.45,2,131,3,0,1,0,sales,low
0.41,0.52,2,135,3,0,1,0,sales,low
0.1,0.85,6,266,4,0,1,0,sales,low
0.44,0.51,2,140,3,0,1,0,hr,medium
0.81,1,4,253,5,0,1,0,technical,low
0.48,0.93,3,219,6,0,1,0,technical,low
0.43,0.57,2,135,3,0,1,0,support,low
0.09,0.91,6,275,4,0,1,0,support,low
0.72,0.96,5,267,5,0,1,0,technical,low
0.91,0.87,4,235,5,0,1,0,technical,low
0.38,0.51,2,159,3,0,1,0,sales,medium
0.1,0.93,6,298,4,0,1,0,technical,medium
0.45,0.5,2,157,3,0,1,0,marketing,medium
0.42,0.57,2,154,3,1,1,0,marketing,medium
0.45,0.46,2,128,3,0,1,0,sales,low
0.76,0.92,4,246,5,0,1,0,sales,low
0.91,0.92,4,246,5,0,1,0,sales,low
0.42,0.53,3,199,4,0,1,0,technical,medium
0.4,0.46,2,143,3,0,1,0,technical,high
0.55,0.6,3,180,4,0,1,0,technical,medium
0.11,0.85,6,261,4,0,1,0,support,low
0.36,0.78,2,151,4,0,1,0,technical,low
0.1,0.87,6,286,4,0,1,0,IT,medium
0.41,0.48,2,136,3,0,1,0,marketing,medium
0.43,0.49,2,135,3,0,1,0,accounting,medium
0.8,0.85,4,273,5,0,1,0,management,low
0.37,0.49,2,151,3,0,1,0,sales,low
0.1,0.79,6,274,4,0,1,0,sales,low
0.42,0.54,2,143,3,1,1,0,sales,low
0.38,0.49,2,135,3,0,1,0,accounting,low
0.19,1,4,192,4,0,1,0,accounting,low
0.53,0.56,4,281,6,0,1,0,hr,medium
0.11,0.87,7,282,5,0,1,0,technical,low
0.43,0.51,2,155,3,0,1,0,technical,medium
0.38,0.55,2,158,3,0,1,0,support,low
0.44,0.48,2,146,3,0,1,0,support,low
0.88,1,5,219,6,1,1,0,technical,low
0.09,0.86,7,309,4,0,1,0,technical,low
0.44,0.54,2,151,3,0,1,0,management,low
0.39,0.51,2,129,3,0,1,0,IT,low
0.41,0.56,2,150,3,0,1,0,product_mng,low
0.09,0.9,7,289,4,0,1,0,product_mng,low
0.09,0.8,6,301,5,0,1,0,IT,medium
0.1,0.84,6,246,4,0,1,0,hr,medium
0.43,0.51,2,136,3,0,1,0,hr,medium
0.45,0.54,2,129,3,0,1,0,marketing,high
0.77,0.91,5,236,5,0,1,0,marketing,medium
0.78,1,5,236,5,0,1,0,sales,medium
0.37,0.47,2,149,3,0,1,0,sales,low
0.37,0.5,2,141,3,0,1,0,sales,low
0.82,0.85,5,248,5,0,1,0,sales,low
0.4,0.57,2,160,3,0,1,0,accounting,low
0.73,1,4,252,5,0,1,0,technical,medium
0.75,0.97,5,243,6,0,1,0,technical,medium
0.9,0.96,5,243,5,0,1,0,technical,medium
0.44,0.56,2,145,3,0,1,0,support,medium
0.87,0.9,5,258,5,0,1,0,support,low
0.39,0.54,2,155,3,0,1,0,support,low
0.37,0.54,2,132,3,0,1,0,technical,low
0.09,0.87,5,263,4,0,1,0,IT,low
0.11,0.9,6,263,4,0,1,0,IT,low
0.83,0.9,5,245,5,0,1,0,product_mng,low
0.09,0.95,7,256,4,0,1,0,marketing,medium
0.39,0.53,2,127,3,0,1,0,sales,medium
